EGG WHITE WRAPS,,,,,,,,,
PRINCESKE,"beljake sneg, rumenjakes cukrom zmiksas in sneg rahlo vmesas ter das v pecico na 180 ",,,,,,,,ANTI CANCER
SLADOLED,,,,,,,,,"• Vitamin D3
 • Vitamin C
 • Turmeric
 • Zinc
 • Omega-3 fatty acids (in the form of fish oil and DHA)
 • Alpha-lipoic acid 
 • Garcinia cambogia 
 • Garlic or garlic extract 
 • Melatonin 
 • Bromelain 
 • Matcha green tea "
HOLANDSKA OMAKA,,,,,,,,,
VANILIJEVA KREMA,https://ketodietapp.com/Blog/lchf/the-best-low-carb-creme-patissiere,,,,,,,,
SOLATA,kraljeva solata,,,,,,,,
MORSKA PICA,,,,,,,,,
WRAPI,,,,,,,,,
RAMEN,,,,,,,,,
Domac biftek,napisi sestavine,,,,,,,,
Domace mesene klobase,,,,,,,,,
Beef jerkey,,,,,,,,,
builabesse - https://www.youtube.com/watch?v=KtMeD_ckgLE,,,,,,,,,
